year,scenario,anom_c
2071,SSP5-8.5,3.3596222
2072,SSP2-4.5,2.3226657
2072,SSP5-8.5,3.574105
2073,SSP2-4.5,2.366054
2073,SSP5-8.5,3.7224305
2074,SSP2-4.5,2.3639
2074,SSP5-8.5,3.7677696
2075,SSP2-4.5,2.235253
2075,SSP5-8.5,3.8165162
2076,SSP2-4.5,2.37834
2076,SSP5-8.5,3.7926083
2077,SSP2-4.5,2.458591
2077,SSP5-8.5,4.0296483
2078,SSP2-4.5,2.3410373
2078,SSP5-8.5,4.0807223
2079,SSP2-4.5,2.1525862
2079,SSP5-8.5,4.117542
2080,SSP2-4.5,2.3208601
2080,SSP5-8.5,4.196445
2081,SSP2-4.5,2.4015257
2081,SSP5-8.5,4.1948757
2082,SSP2-4.5,2.3893695
2082,SSP5-8.5,4.4018764
2083,SSP2-4.5,2.4205306
2083,SSP5-8.5,4.3830013
2084,SSP2-4.5,2.3914702
2084,SSP5-8.5,4.3355517
2085,SSP2-4.5,2.323505
2085,SSP5-8.5,4.5937123
2086,SSP2-4.5,2.5692096
2086,SSP5-8.5,4.6082845
2087,SSP2-4.5,2.6172264
2087,SSP5-8.5,4.7596874
2088,SSP2-4.5,2.5009215
2088,SSP5-8.5,4.7468114
2089,SSP2-4.5,2.4061186
2089,SSP5-8.5,4.7733593
2090,SSP2-4.5,2.6153853
2090,SSP5-8.5,5.042293
2091,SSP2-4.5,2.680423
2091,SSP5-8.5,5.042593
2092,SSP2-4.5,2.6246855
2092,SSP5-8.5,5.1773205
2093,SSP2-4.5,2.5748553
2093,SSP5-8.5,5.2958837
2094,SSP2-4.5,2.726998
2094,SSP5-8.5,5.339504
2095,SSP2-4.5,2.5185935
2095,SSP5-8.5,5.3777905
2096,SSP2-4.5,2.8146446
2096,SSP5-8.5,5.589491
2097,SSP2-4.5,2.8892727
2097,SSP5-8.5,5.54345
2098,SSP2-4.5,2.647032
2098,SSP5-8.5,5.648733
2099,SSP2-4.5,2.685527
2099,SSP5-8.5,5.6844716
2100,SSP2-4.5,2.8903358
2100,SSP5-8.5,5.6276813
