year,tas_anom_c,region
1916,0.031677246,Global
1917,0.13208008,Global
1918,0.056793213,Global
1919,0.074401855,Global
1920,0.1043396,Global
1921,0.25161743,Global
1922,0.07192993,Global
1923,-0.115478516,Global
1924,-0.09902954,Global
1925,0.018371582,Global
1926,0.16564941,Global
1927,0.39102173,Global
1928,0.39309692,Global
1929,0.31451416,Global
1930,0.2341919,Global
1931,0.4277954,Global
1932,0.56677246,Global
1933,0.26901245,Global
1934,0.12963867,Global
1935,0.293396,Global
1936,0.40039062,Global
1937,0.25097656,Global
1938,0.1954956,Global
1939,0.35995483,Global
1940,0.41906738,Global
1941,0.38519287,Global
1942,0.12585449,Global
1943,0.14370728,Global
1944,0.18109131,Global
1945,0.09616089,Global
1946,0.276062,Global
1947,0.36419678,Global
1948,0.27581787,Global
1949,0.33624268,Global
1950,0.16436768,Global
1951,0.13781738,Global
1952,0.2685852,Global
1953,0.3085022,Global
1954,0.24084473,Global
1955,0.29922485,Global
1956,0.21469116,Global
1957,0.34365845,Global
1958,0.35507202,Global
1959,0.20379639,Global
1960,0.17654419,Global
1961,0.34558105,Global
1962,0.4487915,Global
1963,0.30169678,Global
1964,0.08248901,Global
1965,0.08169556,Global
1966,0.2623291,Global
1967,0.4885254,Global
1968,0.5241699,Global
1969,0.20300293,Global
1970,0.05328369,Global
1971,0.11199951,Global
1972,0.46136475,Global
1973,0.6982727,Global
1974,0.61535645,Global
1975,0.4581604,Global
1976,0.5148926,Global
1977,0.51626587,Global
1978,0.53686523,Global
1979,0.69973755,Global
1980,0.6388855,Global
1981,0.54125977,Global
1982,0.69155884,Global
1983,0.7982788,Global
1984,0.69314575,Global
1985,0.6170349,Global
1986,0.64779663,Global
1987,0.6828003,Global
1988,0.6869812,Global
1989,0.8023987,Global
1990,0.85165405,Global
1991,0.7276306,Global
1992,0.53689575,Global
1993,0.47106934,Global
1994,0.41000366,Global
1995,0.4479065,Global
1996,0.62527466,Global
1997,0.8640747,Global
1998,0.94815063,Global
1999,0.87789917,Global
2000,0.8707886,Global
2001,1.2330322,Global
2002,1.1862793,Global
2003,0.98843384,Global
2004,0.9266968,Global
2005,0.9496155,Global
2006,1.1755676,Global
2007,1.2844238,Global
2008,1.396698,Global
2009,1.1605225,Global
2010,1.1274414,Global
2011,1.2783813,Global
2012,1.3728333,Global
2013,1.2109375,Global
2014,1.1283569,Global
