date,region,anom_c
1904-04,Global,-0.23769474
1904-05,Global,-0.39878178
1904-06,Global,-0.15077019
1904-07,Global,-0.19675636
1904-08,Global,-0.42889214
1904-09,Global,-0.45981693
1904-10,Global,-0.60830784
1904-11,Global,-0.6969042
1904-12,Global,-0.77557373
1905-01,Global,-0.7703867
1905-02,Global,-0.81215954
1905-03,Global,-0.6300535
1905-04,Global,-0.5673151
1905-05,Global,-0.43506718
1905-06,Global,-0.47361565
1905-07,Global,-0.3959446
1905-08,Global,-0.42098808
1905-09,Global,-0.5162134
1905-10,Global,-0.47827244
1905-11,Global,-0.50186634
1905-12,Global,-0.6404419
1906-01,Global,-0.48086643
1906-02,Global,-0.55782604
1906-03,Global,-0.50111675
1906-04,Global,-0.3572626
1906-05,Global,-0.39511967
1906-06,Global,-0.326643
1906-07,Global,-0.4801426
1906-08,Global,-0.4172039
1906-09,Global,-0.4707117
1906-10,Global,-0.57690525
1906-11,Global,-0.7021532
1906-12,Global,-0.7364197
1907-01,Global,-0.54165745
1907-02,Global,-0.635005
1907-03,Global,-0.62871075
1907-04,Global,-0.5070429
1907-05,Global,-0.5314722
1907-06,Global,-0.4131298
1907-07,Global,-0.5799656
1907-08,Global,-0.4859295
1907-09,Global,-0.5165491
1907-10,Global,-0.6077585
1907-11,Global,-0.54721546
1907-12,Global,-0.5194702
1908-01,Global,-0.5591135
1908-02,Global,-0.6143751
1908-03,Global,-0.7387266
1908-04,Global,-0.6612177
1908-05,Global,-0.5595789
1908-06,Global,-0.41801262
1908-07,Global,-0.52506447
1908-08,Global,-0.65218925
1908-09,Global,-0.6220789
1908-10,Global,-0.6721811
1908-11,Global,-0.68903065
1908-12,Global,-0.750824
1909-01,Global,-0.51818943
1909-02,Global,-0.77364635
1909-03,Global,-0.54051495
1909-04,Global,-0.6589899
1909-05,Global,-0.5092859
1909-06,Global,-0.5780468
1909-07,Global,-0.6485996
1909-08,Global,-0.60772514
1909-09,Global,-0.6901026
1909-10,Global,-0.62497044
1909-11,Global,-0.76871204
1909-12,Global,-0.653595
